Date,Open,High,Low,Close
12/27/21, 2187.19, 2212.68, 2187.19, 2212.57
12/23/21, 2172.47, 2189.98, 2172.47, 2183.22
12/22/21, 2147.37, 2170.71, 2144.62, 2169.99
12/21/21, 2123.58, 2147.03, 2112.06, 2145.98
12/20/21, 2117.54, 2117.54, 2095.47, 2111.70
12/17/21, 2147.41, 2153.11, 2122.15, 2133.17
12/16/21, 2184.73, 2191.19, 2149.62, 2157.13
12/15/21, 2143.90, 2182.92, 2131.63, 2181.48
12/14/21, 2144.72, 2154.27, 2127.60, 2143.06
12/13/21, 2181.13, 2181.59, 2158.08, 2158.79
12/10/21, 2167.37, 2182.40, 2160.16, 2181.62
12/09/21, 2166.40, 2169.43, 2155.88, 2156.76
12/08/21, 2166.44, 2171.69, 2156.47, 2170.38
12/07/21, 2141.68, 2165.65, 2141.68, 2164.10
12/06/21, 2099.16, 2128.34, 2093.95, 2120.01
12/03/21, 2120.26, 2129.22, 2074.93, 2095.32
12/02/21, 2086.59, 2123.79, 2086.59, 2115.33
12/01/21, 2134.07, 2156.22, 2091.96, 2093.45
11/30/21, 2145.40, 2150.55, 2113.00, 2117.51
11/29/21, 2138.83, 2158.46, 2138.75, 2151.21
11/26/21, 2153.47, 2153.47, 2118.36, 2122.40
11/24/21, 2159.29, 2171.43, 2150.39, 2170.75
11/23/21, 2160.99, 2169.77, 2148.83, 2166.17
11/22/21, 2179.96, 2196.34, 2162.93, 2163.46
11/19/21, 2174.66, 2179.74, 2168.63, 2171.88
11/18/21, 2165.03, 2174.80, 2154.52, 2172.14
11/17/21, 2162.33, 2166.65, 2156.82, 2158.77
11/16/21, 2151.49, 2167.99, 2151.49, 2162.02
11/15/21, 2158.78, 2163.88, 2148.78, 2154.06
11/12/21, 2142.45, 2158.06, 2138.65, 2155.54
11/11/21, 2147.47, 2149.88, 2139.01, 2139.52
11/10/21, 2148.96, 2158.46, 2131.70, 2140.34
11/09/21, 2172.70, 2173.84, 2150.80, 2157.18
11/08/21, 2170.94, 2178.09, 2166.79, 2169.44
11/05/21, 2173.49, 2180.44, 2163.82, 2170.37
11/04/21, 2150.77, 2163.25, 2150.38, 2162.89
11/03/21, 2134.08, 2150.31, 2128.95, 2148.84
11/02/21, 2121.58, 2136.00, 2121.58, 2131.81
11/01/21, 2124.22, 2128.73, 2114.01, 2123.06
10/29/21, 2101.21, 2123.03, 2098.95, 2121.95
10/28/21, 2102.66, 2115.80, 2102.66, 2115.11
10/27/21, 2101.82, 2110.23, 2095.70, 2095.73
10/26/21, 2096.94, 2109.09, 2093.81, 2098.12
